Samples	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
TCGA-HW-A5KL	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0
TCGA-HW-A5KM	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	19	0	18	0	17
TCGA-IK-7675	35	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
TCGA-P5-A5EU	37	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	41	0	0	0	50	0	0
TCGA-P5-A5EV	37	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
TCGA-P5-A5EW	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
TCGA-P5-A5EZ	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	42	0	43	0	45
TCGA-P5-A5F1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0
TCGA-P5-A5F2	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
TCGA-P5-A5F4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
TCGA-P5-A72U	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0
TCGA-P5-A72W	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0
TCGA-P5-A72X	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
TCGA-P5-A731	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
TCGA-P5-A733	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
TCGA-P5-A735	0	84	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-P5-A736	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
TCGA-P5-A780	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0
